P_high_MPa,COP,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C,superheat_K,m_CO2_kg_s,m_steam_kg_h,W_electric_kW,Q_evaporator_kW,x5,IHX_heat_kW,IHX_min_approach_K,gas_cooler_min_approach_K,pinch_location,valid,invalid_reason
8.0,1.0219840853547288,105.95718655486974,157.46714486004362,119.0143636734532,42.421513406621216,15.000000000000966,15.0,90.95718655486877,2.5916607432360204,164.77060596598983,117.4186581959818,8.452274713817296,0.9815374974526011,339.62310069015405,13.057177118583468,5.00000000165511,0.1605351170568562,True,
8.25,1.0530031839467853,105.48241562777099,160.56346191174282,118.47881642491382,43.93084442350994,15.000000000000966,15.0,90.48241562777002,2.351637730321577,164.77060596598983,113.95976938096736,11.738219088080868,0.9717429443908103,306.91398896421094,12.996400797142826,5.0000000127900535,0.1605351170568562,True,
8.5,1.0808018402380557,105.02705237391154,163.5819676228151,117.96508957407383,45.38444930446167,15.000000000000966,15.0,90.02705237391058,2.154650982628049,164.77060596598983,111.02867846114047,14.52275546191657,0.961843616285717,280.1011709097861,12.938037200162285,5.000000077131574,0.1605351170568562,True,
8.75,1.1060320927431921,104.59033539852317,166.5274785887852,117.47233264927354,46.781909413250105,15.000000000000966,15.0,89.5903353985222,1.9899699717117476,164.77060596598983,108.49594761972483,16.928849761261418,0.9518411572437081,257.71448130527796,12.881997250750373,4.999999930184515,0.1605351170568562,True,
9.0,1.129178653007754,104.17155000190735,169.40439930068146,116.9997471323382,48.12283061906385,15.000000000000966,15.0,89.17155000190638,1.8501638987185718,164.77060596598983,106.2719346317433,19.041662099843855,0.941737412748134,238.73579225783126,12.828197130430851,5.00000001731928,0.1605351170568562,True,
9.25,1.1506090560028315,103.77002063344139,172.21676311345448,116.54657800942027,49.406889299748514,15.000000000000966,15.0,88.77002063344042,1.7299237268851428,164.77060596598983,104.29259127933085,20.922038284635793,0.9315344420356667,222.43763786899063,12.776557375978882,5.0000000300912575,0.1605351170568562,True,
9.5,1.1706067607463153,103.38510546592511,174.96826905200288,116.11210770505892,50.63387414305703,15.000000000000966,15.0,88.38510546592414,1.6253552401898859,164.77060596598983,102.51094050020224,22.61460652480789,0.92123453256447,208.28636937070277,12.72700223913381,5.000000046073808,0.1605351170568562,True,
9.75,1.1893936126293438,103.01619065477428,177.66231271122712,115.69564965279534,51.80370809277474,15.000000000000966,15.0,88.01619065477331,1.5335371107730553,164.77060596598983,100.89174746341618,24.152839909754533,0.9108402119719077,195.88161257236789,12.679458998021062,5.000000064294966,0.1605351170568562,True,
10.0,1.2071454495632348,102.66268562123628,180.30201359921267,115.2965430147587,52.91644464392732,15.000000000000966,15.0,87.66268562123531,1.4522348907266205,164.77060596598983,99.40807053815924,25.5623329887488,0.9003542601954881,184.91708690830725,12.633857393522419,5.000000083276234,0.1605351170568562,True,
10.25,1.2240031625198118,102.32402086394563,182.89024138955807,114.91415025037611,53.97224475577184,15.000000000000966,15.0,87.32402086394467,1.3797103131950077,164.77060596598983,98.03896237731956,26.862985741546325,0.8897797261775452,175.15448429550136,12.590129386430476,5.000002479109071,0.1605351170568562,True,
10.5,1.240080763622765,101.99963575420952,185.42962700915592,114.54784337023068,54.97134576919234,15.000000000000966,15.0,86.99963575420855,1.3145907703668451,164.77060596598983,96.7678908665857,28.070503676743588,0.8791199193117052,166.4055756330924,12.548207616021159,5.000002602723384,0.1605351170568562,True,
10.75,1.2554712076086958,101.68898828363501,187.92259636309007,114.19701497304072,55.91403597457793,15.000000000000966,15.0,86.68898828363405,1.2557779561819882,164.77060596598983,95.58164239271149,29.197439726924106,0.8683784411497555,158.51971652003022,12.50802668940571,5.000002642498828,0.1605351170568562,True,
11.0,1.2702508227243576,101.391543176033,190.37137626630857,113.86106485006087,56.800637633208794,15.000000000000966,15.0,86.39154317603203,1.2023826082895412,164.77060596598983,94.46953141319855,30.25394515746137,0.8575591868901841,151.37489309423552,12.469521674027874,5.000002505235045,0.1605351170568562,True,
11.25,1.2844826594271084,101.10677085986299,192.77801077512208,113.53939884878099,57.63149995966279,15.000000000000966,15.0,86.10677085986202,1.1536770065443334,164.77060596598983,93.42282600648042,31.24831529384361,0.8466663458365606,144.8712180910894,12.432627988918,5.000002265492867,0.1605351170568562,True,
11.5,1.298219031336329,100.83414681382567,195.14437607808452,113.2314281566774,58.40700018857217,15.000000000000966,15.0,85.8341468138247,1.109059884404246,164.77060596598983,92.43432510496885,32.187391150279595,0.8357044140603173,138.92612648280894,12.397281342851727,5.000001944563053,0.1605351170568562,True,
11.75,1.3115035122082868,100.57314854812444,197.4721909014835,112.93656591253904,59.12754916609373,15.000000000000966,15.0,85.57314854812347,1.0680300959930178,164.77060596598983,91.4980393746305,33.07686259410103,0.8246781951009375,133.47076705971122,12.363417364414602,5.000001532156887,0.1605351170568562,True,
12.0,1.3243724953466445,100.32325427293796,199.76302744007978,112.65422572170843,59.793600193528846,15.000000000000966,15.0,85.32325427293699,1.0301666020897744,164.77060596598983,90.60894908466891,33.921498369564624,0.8135928029231808,128.44726161693805,12.33097144877047,5.000001079335391,0.1605351170568562,True,
12.25,1.3368564332365345,100.08394160389577,202.01832104572065,112.3838202117675,60.405660653887026,15.000000000000966,15.0,85.0839416038948,0.9951130705507578,164.77060596598983,89.7628174698457,34.72532340364652,0.8024536621138975,123.80659597626122,12.299878607871733,5.000000637155324,0.1605351170568562,True,
12.5,1.3489808315499248,99.85468657694582,204.23937916009515,112.12475993657694,60.96430687586394,15.000000000000966,15.0,84.85468657694486,0.9625658957269888,164.77060596598983,88.95604532951356,35.491756936962126,0.7912665059369132,119.50697945820693,12.270073359631112,5.0000002671771995,0.1605351170568562,True,
12.75,1.3607670542294052,99.63496294339456,206.42738959357172,111.8764525958693,61.47020451306457,15.000000000000966,15.0,84.63496294339359,0.932264782270237,164.77060596598983,88.18555654109022,36.223721285964295,0.7800373719364179,115.51255569917382,12.24148965247474,5.000000038748851,0.1605351170568562,True,
