Estado,Componente/localizacao,P_MPa,T_C,h_kJ_kg,s_kJ_kgK,Qualidade
1,Saida lado frio IHX / entrada compressor,3.485140757663161,51.54533950440032,499.3576415218684,2.0764331495867134,
2,Saida compressor / entrada gas cooler,24.812377031668248,274.8323959968383,686.0544521428657,2.1827940952138696,
3,Saida gas cooler / entrada lado quente IHX,24.812377031668248,78.36567237680708,356.313065733325,1.4194111506764329,
4,Saida lado quente IHX / entrada valvula,24.812377031668248,47.21021863756516,287.8487648675538,1.2155814081669907,
5,Saida valvula / entrada evaporador,3.485140757663161,4.547473508864641e-13,287.8487648675538,1.3216136367108031,0.38047335890210204
6,Saida evaporador / entrada lado frio IHX,3.485140757663161,0.0,430.8933406560972,1.8452987027497687,1.0
