P_high_MPa,Q_sink_kW,COP,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C,superheat_K,m_CO2_kg_s,m_steam_kg_h,W_electric_kW,Q_evaporator_kW,x5,IHX_heat_kW,IHX_min_approach_K,gas_cooler_min_approach_K,pinch_location,valid,invalid_reason
8.0,120.0,0.9836076156536285,58.62160312989647,146.66556628849537,88.9625507008036,47.01211739172663,4.547473508864641e-13,0.0,58.621603129896016,1.63813454801475,167.73103256994833,121.99986873856949,4.100124698358973,0.9891598301183193,125.08590428855689,30.340947570907133,5.000000098267947,0.11371237458193979,True,
8.25,120.0,1.0132161218428515,58.41884928844763,149.89650809235184,88.65995407118305,48.144164647558625,4.547473508864641e-13,0.0,58.41884928844718,1.529639917318706,167.73103256994833,118.43475188861223,7.4869857058183875,0.9788014386537357,116.45826337203823,30.24110478273542,5.000000137981772,0.11371237458193979,True,
8.5,120.0,1.0411077380414993,58.229028549809755,153.05177409493507,88.37660477062252,49.248095116375,4.547473508864641e-13,0.0,58.2290285498093,1.4352552914072347,167.73103256994833,115.26184621943202,10.501246091539603,0.9683116028761986,108.97079248932047,30.147576220812766,4.999997512638629,0.11371237458193979,True,
8.75,120.0,1.0675251741274352,58.05170772329302,156.13599214201804,88.11186670247139,50.32155393624612,4.547473508864641e-13,0.0,58.051707723292566,1.3523411194455865,167.73103256994833,112.4095271084212,13.210949246999855,0.9576906490216829,102.41005896657917,30.060158979178368,4.999998181786793,0.11371237458193979,True,
9.0,120.0,1.0926660454812782,57.886449661494225,159.15336619858994,87.86509673352231,51.362149688733325,4.547473508864641e-13,0.0,57.88644966149377,1.2788819371888087,167.73103256994833,109.82312527808487,15.668030985819374,0.9469393505976162,96.61302736114892,29.97864707202808,4.999998788480696,0.11371237458193979,True,
9.25,120.0,1.1166923380898928,57.73281614526741,162.1077232699729,87.63564907116927,52.36747454482395,4.547473508864641e-13,0.0,57.73281614526695,1.2133123626114786,167.73103256994833,107.46021612833893,17.912794678078093,0.936059015639716,91.45301491413679,29.902832925901862,4.999999298825799,0.11371237458193979,True,
9.5,120.0,1.1397376216625568,57.59036020329381,165.0025415361169,87.4228638606732,53.33513434891188,4.547473508864641e-13,0.0,57.59036020329336,1.154398182380762,167.73103256994833,105.28739046531932,19.97697905794665,0.9250515298016871,86.83008045328437,29.83250365737939,4.999999687008369,0.11371237458193979,True,
9.75,120.0,1.1619125163675201,57.458622456989815,167.84097852154036,87.22606178549086,54.26279139127166,4.547473508864641e-13,0.0,57.45862245698936,1.1011532624454627,167.73103256994833,103.27799925518941,21.885900707570062,0.9139194075418362,82.66431324873321,29.76743932850104,4.999999935681842,0.11371237458193979,True,
10.0,120.0,1.1833088854497658,57.33712447600249,170.62589129750256,87.044534196793,55.14821215904408,4.547473508864641e-13,0.0,57.33712447600203,1.0527803170262249,167.73103256994833,101.41054586469112,23.659981428543436,0.9026658511763365,78.89104505974576,29.70740972079051,5.000000000000739,0.11371237458193979,True,
10.25,120.0,1.2040030845226137,57.22536679627069,173.35985894071837,86.87754020414667,55.98930815462836,4.547473508864641e-13,0.0,57.22536679627024,1.0086278745301684,167.73103256994833,99.66751874857522,25.31585718885354,0.8912948139788961,75.45737649849116,29.652173407875978,4.999999939458974,0.11371237458193979,True,
