P_high_MPa,valid,invalid_reason,COP,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C,superheat_K,m_CO2_kg_s,m_steam_kg_h,W_electric_kW,Q_evaporator_kW,x5,IHX_heat_kW,IHX_min_approach_K,gas_cooler_min_approach_K,pinch_location
8.0,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler. Primeira falha: Temperatura de descarga insuficiente para o approach minimo.,,,,,,,,,,,,,,,,,
8.25,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler. Primeira falha: Temperatura de descarga insuficiente para o approach minimo.,,,,,,,,,,,,,,,,,
8.5,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler. Primeira falha: Temperatura de descarga insuficiente para o approach minimo.,,,,,,,,,,,,,,,,,
8.75,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler. Primeira falha: Temperatura de descarga insuficiente para o approach minimo.,,,,,,,,,,,,,,,,,
9.0,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler. Primeira falha: Temperatura de descarga insuficiente para o approach minimo.,,,,,,,,,,,,,,,,,
9.25,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler. Primeira falha: Temperatura de descarga insuficiente para o approach minimo.,,,,,,,,,,,,,,,,,
9.5,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler. Primeira falha: Temperatura de descarga insuficiente para o approach minimo.,,,,,,,,,,,,,,,,,
9.75,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler. Primeira falha: Temperatura de descarga insuficiente para o approach minimo.,,,,,,,,,,,,,,,,,
10.0,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler. Primeira falha: Temperatura de descarga insuficiente para o approach minimo.,,,,,,,,,,,,,,,,,
10.25,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler. Primeira falha: Temperatura de descarga insuficiente para o approach minimo.,,,,,,,,,,,,,,,,,
10.5,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
10.75,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
11.0,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
11.25,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
11.5,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
11.75,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
12.0,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
12.25,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
12.5,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
12.75,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
13.0,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
13.25,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
13.5,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
13.75,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
14.0,False,Nao foi encontrado intervalo com mudanca de sinal para o pinch do gas cooler.,,,,,,,,,,,,,,,,,
14.25,True,,0.9924319493223357,66.99342406265987,178.7033721927985,116.15192163079621,77.1725019308019,15.000000000000966,15.0,51.9934240626589,1.3114422622582074,164.77060596598983,120.91509154047272,5.130663036550927,0.9778527691595387,112.07411003393597,49.15849756813634,5.0000004118447805,0.1605351170568562
14.5,True,,1.0128395685484424,66.86297932702644,180.57193588071516,115.90944362227953,77.46464827731484,15.000000000000966,15.0,51.86297932702547,1.2616764333322852,164.77060596598983,118.47878353723758,7.445155639624305,0.9665942747649428,107.61733514200853,49.04646429525309,5.000000450746768,0.1605351170568562
14.75,True,,1.0325037252989222,66.73655859270411,182.4144734556677,115.67437789322139,77.72799720098897,15.000000000000966,15.0,51.73655859270315,1.215847014677011,164.77060596598983,116.22234095596949,9.588776091829006,0.9553543285032207,103.51772818761114,48.937819300517276,5.0000004765065,0.1605351170568562
15.0,True,,1.0514643131600347,66.61390050208615,184.23165549545905,115.4462445359764,77.96271348070559,15.000000000000966,15.0,51.61390050208519,1.1735123535067553,164.77060596598983,114.12655522217024,11.579772538938276,0.9441391580070254,99.73485823985963,48.83234403389025,5.000000487194711,0.1605351170568562
15.25,True,,1.0697568958242434,66.49474412246013,186.02410158451363,115.22456373092922,78.16903973370722,15.000000000000966,15.0,51.49474412245917,1.1342953345150861,164.77060596598983,112.17501889299858,13.433732051651363,0.9329551149474901,96.23419436132967,48.729819608469086,5.000000000002103,0.1605351170568562
15.5,True,,1.0874132503748124,66.37883084609427,187.79238587171136,115.00885932005536,78.34729737640873,15.000000000000966,15.0,51.37883084609331,1.0978719701338961,164.77060596598983,110.35363046995987,15.164051053538142,0.9218086600939981,92.98606559489112,48.63002847396109,5.000000006855714,0.1605351170568562
15.75,True,,1.1044618934844146,66.26590377847174,189.53703909036727,114.7986577072175,78.49788559424087,15.000000000000966,15.0,51.26590377847077,1.063962285700826,164.77060596598983,108.65019491203782,16.78231483356408,0.9107063151906732,89.96482710008597,48.53275392874576,5.000000000001478,0.1605351170568562
16.0,True,,1.1209284869763052,66.15570981723704,191.2585539679382,114.59349176424786,78.62127922260231,15.000000000000966,15.0,51.15570981723607,1.0323230509468564,164.77060596598983,107.05410861998784,18.2985968110115,0.8996546440553224,87.14819832983686,48.43778194701082,5.000000011428256,0.1605351170568562
16.25,True,,1.1368362185639362,66.04800046886396,192.95738880635366,114.39290238889743,78.71803276339693,15.000000000000966,15.0,51.048000468862995,1.0027418856876722,164.77060596598983,105.55610213719729,19.721702969662598,0.8886602166429648,84.51672490569628,48.344901920033465,5.000000000000796,0.1605351170568562
16.5,True,,1.152206130771106,65.94253295029102,194.6339712941463,114.19644059286327,78.7887800182666,15.000000000000966,15.0,50.94253295029006,0.9750324652946234,164.77060596598983,104.14803115106741,21.05937040648596,0.877729575075285,82.05334120826551,48.253907642572244,5.000000000024784,0.1605351170568562
16.75,True,,1.167057409938532,65.8390712858801,196.28870218739962,114.00366958099585,78.83422854867786,15.000000000000966,15.0,50.83907128587913,0.949030591357861,164.77060596598983,102.82270518835941,22.318430071058575,0.8668691990309095,79.74301189087745,48.16459829511575,5.000000000000284,0.1605351170568562
17.0,True,,1.1814076405917926,65.73738736057703,197.92195881252633,113.81416674872264,78.85515359625128,15.000000000000966,15.0,50.737387360576065,0.9245909511759833,164.77060596598983,101.5737463318668,23.50494098472654,0.8560854708832071,77.57243618410872,48.07677938814561,4.999999979989127,0.1605351170568562
17.25,True,,1.1952730418729014,65.63726136071296,199.5340976256449,113.62752453761908,78.85238986614792,15.000000000000966,15.0,50.63726136071199,0.9015844230136657,164.77060596598983,100.39547098959848,24.624302559881453,0.8453846336763671,75.5298013611444,47.990263176906126,4.999998861891015,0.1605351170568562
17.5,True,,1.2086686252140058,65.53848434604197,201.12545958842537,113.44335526341831,78.82682379267533,15.000000000000966,15.0,50.538484346041,0.8798958561180886,164.77060596598983,99.28279554601073,25.681344231289817,0.8347727805174316,73.60458174546442,47.90487091737634,4.999997532001828,0.1605351170568562
17.75,True,,1.221608312093571,65.44086133687051,202.69637621425136,113.26129690851855,78.77938586793505,15.000000000000966,15.0,50.440861336869546,0.8594222166910827,164.77060596598983,98.2311587208719,26.680399215171704,0.8242558563270116,71.78737138065975,47.820435571648034,5.000003399497814,0.1605351170568562
18.0,True,,1.234105426897018,65.3441973227707,204.24715194070342,113.08098705928671,78.71102804553749,15.000000000000966,15.0,50.34419732276973,0.8400708331753571,164.77060596598983,97.23642517456784,27.625396084160542,0.81383942071799,70.06970913290657,47.736789736516016,5.000002413988284,0.1605351170568562
18.25,True,,1.246172303132184,65.2483202150334,205.7780973408196,112.90210574151456,78.6227342919027,15.000000000000966,15.0,50.248320215032436,0.8217583260761543,164.77060596598983,96.29487005800621,28.51987344489409,0.8035289366620614,68.44400283012999,47.65378552648116,5.000001617867497,0.1605351170568562
18.5,True,,1.257820742689381,65.15306636708522,207.28951070322745,112.72434844915978,78.51549992673364,15.000000000000966,15.0,50.15306636708425,0.8044092926888027,164.77060596598983,95.4031015130381,29.367053562613776,0.7933295376741729,66.9033938671854,47.57128208207456,5.000001008386619,0.1605351170568562
18.75,True,,1.269062025491363,65.0582845240923,208.78168489633276,112.54743353858157,78.39032845919229,15.000000000000966,15.0,50.058284524091334,0.7879553831242057,164.77060596598983,94.55802599840436,30.16987530151587,0.7832460587875534,65.4416760010262,47.48914901448927,5.000000589919921,0.1605351170568562
19.0,True,,1.2799069916984471,64.9638359052118,210.25490883622632,112.37110241007679,78.24822653410251,15.000000000000966,15.0,49.96383590521083,0.7723344705599076,164.77060596598983,93.75681262648547,30.931028004838808,0.7732830187386741,64.0532189454072,47.40726650486499,5.000000282876783,0.1605351170568562
19.25,True,,1.2903661100114565,64.86959420322376,211.7094687664918,112.19511953415326,78.0901999398734,15.000000000000966,15.0,49.86959420322279,0.7574899386620565,164.77060596598983,92.996862726761,31.65298040957704,0.7634446062585473,62.732902660140844,47.32552533092951,5.000000113638805,0.1605351170568562
19.5,True,,1.30044953677874,64.77544537987387,213.1456491807686,112.0192720952885,77.91725011747928,15.000000000000966,15.0,49.775445379872906,0.7433700661015409,164.77060596598983,92.27578357038313,32.33800560813605,0.7537346683813606,61.47606040107934,47.24382671541463,5.000000017773743,0.1605351170568562
19.75,True,,1.310167162691036,64.68128747000407,214.56373368873585,111.84336965092297,77.73037092825098,15.000000000000966,15.0,49.6812874700031,0.7299274947133879,164.77060596598983,91.59136590900685,32.98820238644349,0.7441567035518942,60.2784294954939,47.1620821809189,5.000000014188458,0.1605351170568562
20.0,True,,1.319528652558388,64.58703023485293,215.96400560329414,111.66724350762814,77.53054517447106,15.000000000000966,15.0,49.587030234851966,0.7171187667571369,164.77060596598983,90.94156444980273,33.60551377268742,0.734713856669753,59.13610837516737,47.08021327277521,4.999999999906777,0.1605351170568562
